treatment,alpha_pooled,alpha_ci_lower,alpha_ci_upper,xmin,loglikelihood_ratio,p_value,n_total_steps,n_worms_tested,alpha_mean_worms,alpha_median_worms,alpha_std_worms,alpha_min_worms,alpha_max_worms,n_levy_statistical,percent_levy_statistical,n_levy_strict,percent_levy_strict
Control,4.317522029032582,2.7901290538278487,5.4069918774131285,41.23105625617661,-0.28357802060786996,0.6104915356306825,115089,724,,,,,,14,1.9337016574585635,185,25.552486187845304
ETANOL,7.178311324254706,3.0324534747875886,8.405258784122282,32.0,-0.07068831657984487,0.4096551383992343,93250,583,,,,,,15,2.5728987993138936,93,15.951972555746142
CBD 0.3uM,4.257249008181249,2.714469020201774,4.505693837482088,25.942243542145693,-0.21415298726780474,0.10092928415554041,47482,294,,,,,,3,1.0204081632653061,69,23.46938775510204
CBD 3uM,3.621649060689817,3.4848194537104136,5.1895550174481935,14.0,-5.352155359745915,0.0526161294683614,34414,226,6.590975264377348,3.740481497101693,9.958065082166051,1.8852475081396864,91.96005748418526,5,2.2123893805309733,64,28.31858407079646
CBD 30uM,2.5833405917439176,2.5510543512348707,4.444561569222756,5.830951894845301,-23.603623686334906,1.8784229079446816e-05,28758,177,7.9194508408966815,3.5805063335608223,17.296858045318128,1.8160627346723963,133.9196884385803,2,1.1299435028248588,55,31.07344632768362
CBDV 0.3uM,2.9587264676907985,2.4863461859628084,3.1099062283068726,7.615773105863909,-3.4000247263629415,0.05619300331397958,8989,54,,,,,,1,1.8518518518518516,2,3.7037037037037033
CBDV 3uM,3.071308699355946,2.9492122484454026,3.2440133115173144,5.656854249492381,0.025343122356131564,0.15870541321953469,16076,94,,,,,,4,4.25531914893617,7,7.446808510638298
CBDV 30uM,2.7861141391122164,2.6643616637160377,2.958557299160111,6.0,-0.1009035810120964,0.7270394967505296,8443,52,24.956982508103184,4.695124004430259,72.45043860977158,1.9424687671845042,422.26695193957727,2,3.8461538461538463,14,26.923076923076923
Total_Extract_CBD,2.8508066681836066,2.625194474420841,13.17384737823857,8.06225774829855,-22.56234630900568,1.8014032383507955e-05,27588,163,,,,,,4,2.4539877300613497,24,14.723926380368098
