feature,p_permutation,q_by,selected_fdr
speed_mean,0.0001999600079984003,0.0013080073647611138,True
speed_std,0.0001999600079984003,0.0013080073647611138,True
speed_median,0.8074385122975405,1.0,False
speed_min,1.0,1.0,False
speed_max,0.0001999600079984003,0.0013080073647611138,True
speed_q25,1.0,1.0,False
speed_q75,0.0011997600479904018,0.0071940405061861265,True
turning_mean,0.0001999600079984003,0.0013080073647611138,True
turning_std,0.0001999600079984003,0.0013080073647611138,True
turning_max,0.0001999600079984003,0.0013080073647611138,True
angular_accel_mean,0.0001999600079984003,0.0013080073647611138,True
angular_accel_std,0.0001999600079984003,0.0013080073647611138,True
path_length,0.07378524295140972,0.35394679290435743,False
displacement,0.0001999600079984003,0.0013080073647611138,True
confinement_ratio,0.00639872025594881,0.03288704231399372,True
radius_of_gyration,0.0001999600079984003,0.0013080073647611138,True
tortuosity,0.24675064987002598,1.0,False
speed_autocorr_lag1,0.6000799840031994,1.0,False
fraction_moving,0.001799640071985603,0.009960979162411558,True
msd_lag10,0.0001999600079984003,0.0013080073647611138,True
